card_id,name,subtitle,status,mythology,tier,atk,hp,special_name,special_description,quote,role,design_note,corner_icon,art_filename
zeus,Zeus,King of the Gods,God,Greek,III,12,110,Sky Thunder,Before reveal declare this Special. For this battle Zeus's ATK becomes 15. Deal 5 damage to a Monster Titan or Giant.,You dare defy the lord of the sky?,burst_damage,,lightning bolt,Zeus.png
athena,Athena,Goddess of Wisdom and Warfare,Goddess,Greek,II,90,150,Strategic Strike,Deal 50 damage to an opposing card and draw a card.,Wisdom is my weapon.,control,,,Athena.png
hades,Hades,Lord of the Underworld,God,Greek,II,110,200,Soul Reap,Deals 100 damage to each opposing card.,All shall bow to the lord of the dead.,burst_damage,,helm of darkness,Hades.png
poseidon,Poseidon,Lord of the Sea,God,Greek,III,95,200,Tidal Fury,Deals 125 damage to this card and up to two other opposing cards.,Tremble before the lord of the sea.,burst_damage,,trident,Poseidon.png
apollo,Apollo,God of the Sun,God,Greek,III,105,180,Solar Flare,Deals 90 damage to all opposing cards.,Here comes the sun!,burst_damage,,lyre,Apollo.png
artemis,Artemis,Goddess of the Hunt,God,Greek,III,105,180,Moonlight Volley,Deals 50 damage to all opposing cards.,Let the hunt begin!,burst_damage,,bow and moon,Artemis.png
ares,Ares,God of War,God,Greek,II,150,160,Incite War,Deal 80 damage. This card gains +20 ATK for this battle.,All life ends in battle.,burst_damage,,crossed swords,Ares.png
hera,Hera,Olympian Goddess,God,Greek,II,130,170,Divine Wrath,Deal 70 damage and reduce the ATK of opposing card by 20 for this battle.,Do not defy the queen of the gods.,control,,peacock,Hera.png
demeter,Demeter,Goddess of the Harvest,God,Greek,III,80,140,Harvest Blessing,Harvest: Restore 30 Health to all allies. Plant: Give all allies +10 Attack for this battle.,Feed your friends and they will feed you.,survivability,,wheat/trident,Demeter.png
hestia,Hestia,Goddess of the Hearth,God,Greek,III,50,150,Warm Embrace,Restore 30 Health to all allies. Remove all status effects from all allies.,Welcome and make yourself at home.,survivability,,hearth flame,Hestia.png
hephaestus,Hephaestus,Smith of Olympus,God,Greek,III,70,160,Master Craftsman,Choose ONE: Repair this card: Restore 40 Health OR Reinforce an ally: Give another card +20 Attack or +30 Health for this battle.,Strength isn't speed. It's what lasts.,survivability,,hammer and anvil,Hephaestus.png
hecate,Hecate,Goddess of Magic and Witchcraft,Goddess,Greek,II,85,145,Dark Magic,Deal 60 damage. Return a card from your discard pile to your hand.,By moonlight I hold dominion.,control,,triple moon,Hecate.png
nemesis,Nemesis,Goddess of Retribution,Goddess,Greek,II,100,140,Vengeance,Deal 80 damage. If this card dealt damage this turn it takes 20 less damage until the end of your next turn.,All shall be avenged.,disruption,,scales,Nemesis.png
thanatos,Thanatos,God of Death,God,Greek,II,100,150,Soul Reap,Deal 70 damage. This card gains +10 ATK for this battle.,Death is my domain.,burst_damage,,skull,Thanatos.png
iris,Iris,Goddess of the Rainbow,Goddess,Greek,II,80,100,Blinding Radiance,Deal 60 damage. This card gains +20 ATK for this battle.,Behold the colors of my realm.,tempo,,caduceus,Iris.png
khione,Khione,Goddess of Snow and Ice,Goddess,Greek,II,105,160,Frozen Bind,Freeze opposing card for 2 turns. Deal 50 damage to it.,You cannot escape my icy grasp!,control,,snowflake,Khione.png
lupa,Lupa,Wolf Goddess,God,Roman,II,110,160,Feral Command,Deal 80 damage and reduce the ATK of this this battle.,Survival belongs to the strong.,control,,wolf head,Lupa.png
jupiter,Jupiter,King of the Gods,God,Roman,III,12000,250000000,Astro Thunder (Apotheosis),For this battle Jupiter's ATK becomes 50000. Deal 10000 damage to each opposing Monster Titan and Giant. (Gods are unaffected by this damage.),You dare defy the lord of the cosmos?,burst_damage,Primordial-tier Roman Zeus equivalent,lightning bolt,Jupiter.png
neptune,Neptune,Lord of Tides and Boundaries,God,Roman,III,1300,9000,Imperial Tide,Choose one opposing card. That card cannot use its Special Attack this battle. Deal 600 (1000 to Monster/Giant) damage to it.,The sea obeys law not rage.,control,,trident,Neptune.png
pluto,Pluto,Lord of the Underworld,God,Roman,III,1500,8500,Dominion of the Underworld,For this battle Pluto's ATK becomes 3500. If Pluto wins this battle the opposing Monster or Demon is removed from play instead of discarded. Gods Titans Giants and Primordials are immune.,All things end. I decide when.,finisher,,three-headed dog,Pluto.png
janus,Janus,Two-Faced Lord of Doorways,God,Roman,II,85,140,Crossroads Judgment,Choose one: Deal 60 damage and an opposing card OR Restore 40 Health to this card.,Every ending is also a beginning.,control,,two faces,Janus.png
medusa,Medusa,The Gorgon,Monster,Greek,III,110,180,Petrifying Gaze,Petrifies the strongest opposing cards.,Behold the Gorgon!,control,,gorgon head,Medusa.png
minotaur,Minotaur,Terrifying Bull-Man,Monster,Greek,II,130,180,Savage Charge,Deal 90 damage. This card gains +20 ATK for this battle.,Moo! (I will crush you!),burst_damage,,bull head,Minotaur.png
chimera,Chimera,Three-Headed Beast,Monster,Greek,II,100,180,Infernal Breath,Deals 100 damage to an opposing card and 50 damage to up to two other opposing cards.,Behold the Chimera!,burst_damage,,lion head,Chimera.png
gorgons,Gorgons,Dreadful Snake Sisters,Monster,Greek,II,110,160,Petrifying Stare,Set the ATK of opposing card to 0 for this battle.,Prepare to be stone!,control,,gorgon mask,Gorgons.png
arachne,Arachne,Vengeful Weaver,Monster,Greek,I,90,140,Vengeful Patterns,When this card is defending reduce the attacker's Attack Points by 30 for this battle.,Perfection demands suffering.,control,,spider,Arachne.png
kampe,Kampê,Warden of Tartarus,Monster,Greek,II,105,160,Chains of Tartarus,Deal 60 damage to an opposing card. That card's Special Attack cannot be used next turn.,No one escapes my chains.,disruption,,chains,Kampê.png
mrs-dodds,Mrs. Dodds,Fury in Disguise,Monster,Greek,I,75,110,Pyroclasm,Set this card's Attack Points to 90 and deal 90 damage to anyone attacking it.,Now I've got you brat!,disruption,,fury wings,Mrs. Dodds.png
lycian,Lycian,Werewolf,Monster,Greek,II,100,200,Savage Rend,Attacks the highest opposing card for 120 damage.,I hunger for blood!,burst_damage,,wolf,Lycian.png
empousa,Empousa,Vampire Seductress,Monster,Greek,I,95,120,Vampiric Bite,Deal 70 damage and Empousa heals 40 HP.,You're my type.,survivability,,flame,Empousa.png
kerkopes,Kerkopes,Mischievous Thieves,Monster,Greek,I,75,110,Pyroclasm,Deal 50 damage to up to two opposing cards.,Who's the fool now??,disruption,,gold coins,Kerkopes.png
eidolons,Eidolons,Possessing Spirits,Monster,Greek,I,70,110,Possession,Takes control of an opponent's card until the end of this battle.,Three heads no form.,control,,glowing eyes,Eidions.png
ma-gasket,Ma Gasket the Cyclops,Monstrous Giantess,Monster,Greek,II,130,200,Ogre Smash,Deal 90 damage. This card gains +20 HP for this battle.,Come here little snacks!,burst_damage,,eye,Ma Gasket the Cyclops.png
arai,Arai,Spirit of Revenge,Monster,Greek,II,80,140,Sorrowful Curse,Deal 50 damage and prevent the opposing card from using Special Attacks until the end of your next turn.,You will suffer as we have.,disruption,,hooded spirits,Arai.png
mrs-oleary,Mrs. O'Leary,Massive Hellhound,Beast,Greek,II,115,160,Infernal Pounce,Deal 80 damage and freeze opposing card for 1 turn.,Burns and belly rubs that's all she wants.,tempo,,paw print,Mrs. O'Leary.png
dr-thorn,Dr. Thorn,Deadly Undercover Monster,Manticore,Greek,II,95,145,Ambush Stinger Strike,Deal 50 damage to an opposing card. If this card is attacking the opposing player discards 2 random cards before calculating damage.,You trusted too easily.,disruption,,scorpion tail,Dr. Thorn.png
talos,Talos,Bronze Guardian of Krete,Giant,Greek,II,120,220,Terrifying Onslaught,Deal 80 damage to an opposing card. If this card is attacking the opposing player discards 2 random cards before calculating damage.,Flee or fight — it makes no difference.,burst_damage,,gear/cog,Talos.png
antaeus,Antaeus,Invincible Giant of Earth,Giant,Greek,II,125,210,Mighty Rejuvenation,Restore 40 HP to Antaeus. Deal 50 damage to an opposing card.,The earth revives me; none can bring me down.,survivability,,earth globe,Antaeus.png
clytius,Clytius,Dark Fire Giant,Giant,Greek,II,100,180,Pyroclasm,Deal 50 damage to up to two opposing cards.,All will burn in darkness.,burst_damage,,dark flame,Clytius.png
earthborn,Earthborn,Earth Elemental,Giant,Greek,III,105,190,Seismic Smash,Deals 90 damage to all opposing cards.,I am the might of the earth!,burst_damage,,earth symbol,Earthborn.png
chiron,Chiron,Wise Centaur,Hero,Greek,II,90,145,Mentor's Wisdom,Repairs the weakest ally's card for 80 Health.,With ingenuity all things are possible.,survivability,,scroll,Chiron.png
